Brand,Model,Condition,Manufactured_Year,Mileage(min),Mileage(max),Engine_Capacity(cc),Transmission,Price_Depreciation_Percentage(From 2014 - 2018),Market_Price_2010,Market_Price_2012,Market_Price_2014,Current_price_2018
Honda,City,Used,2008,70000,74999,1500,Auto,-53.5483871,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-74.62835821,45000,58000,67000,29800
Honda,City,Used,2008,180000,189999,1500,Auto,-64.83870968,42000,54000,62000,27800
Honda,City,Used,2008,160000,169999,1500,Auto,-63.08387097,42000,54000,62000,27800
Honda,City,Used,2008,85000,89999,1500,Auto,-61.61290323,42000,54000,62000,28800
Honda,City,Used,2008,85000,89999,1500,Auto,-62.90483871,42000,54000,62000,28800
Honda,City,Used,2008,120000,129999,1500,Auto,-64.47761194,45000,58000,67000,28888
Honda,City,Used,2008,95000,99999,1500,Auto,-20,36000,36000,36000,20700
Honda,City,Used,2008,150000,159999,1500,Auto,-36.66666667,36000,36000,36000,20700
Honda,City,Used,2008,90000,94999,1500,Auto,-62.90483871,42000,54000,62000,28800
Honda,City,Used,2008,100000,109999,1500,Auto,-54.84032258,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-62.98507463,45000,58000,67000,29800
Honda,City,Used,2008,80000,84999,1500,Auto,-43.5483871,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-64.83870968,42000,54000,62000,28800
Honda,City,Used,2008,90000,94999,1500,Auto,-62.09677419,42000,54000,62000,28800
Honda,City,Used,2008,170000,179999,1500,Auto,-61.61290323,42000,54000,62000,27800
Honda,City,Used,2008,90000,94999,1500,Auto,-29.16666667,36000,36000,36000,20700
Honda,City,Used,2008,100000,109999,1500,Auto,-72.58225806,42000,54000,62000,28800
Honda,City,Used,2008,160000,169999,1500,Auto,-66.4516129,42000,54000,62000,27800
Honda,City,Used,2008,90000,94999,1500,Auto,-61.29032258,42000,54000,62000,28800
Perodua,MyVi,Used,2008,110000,119999,1300,Auto,-50.02777778,26000,28000,36000,19800
Perodua,MyVi,Used,2008,100000,109999,1300,Auto,-52.05882353,24000,30000,34000,19299
Perodua,MyVi,Used,2008,80000,84999,1300,Auto,-43.03030303,22000,28000,33000,19000
Perodua,MyVi,Used,2008,180000,189999,1300,Auto,-45.45454545,22000,28000,33000,19000
Perodua,MyVi,Used,2008,170000,179999,1300,Auto,-52.94411765,24000,30000,34000,19299
Perodua,MyVi,Used,2008,85000,89999,1300,Auto,-51.47058824,24000,30000,34000,19800
Perodua,MyVi,Used,2008,150000,159999,1300,Auto,-44.11764706,24000,30000,34000,19299
Perodua,MyVi,Used,2008,95000,99999,1300,Auto,-56.94444444,26000,28000,36000,20800
Perodua,MyVi,Used,2008,110000,119999,1300,Auto,-50.58823529,24000,30000,34000,19299
Perodua,MyVi,Used,2008,90000,94999,1300,Auto,-54.90588235,24000,30000,34000,19299
Perodua,MyVi,Used,2008,70000,74999,1300,Manual,-23.63636364,22000,22000,22000,12800
Perodua,MyVi,Used,2008,170000,179999,1000,Manual,-28.88888889,18000,18000,18000,12800
Perodua,MyVi,Used,2008,80000,84999,1300,Manual,-33.33333333,24000,26000,33000,20800
Perodua,MyVi,Used,2008,190000,199999,1300,Manual,-57.57575758,24000,26000,33000,19500
Perodua,MyVi,Used,2008,110000,119999,1300,Manual,-48.78787879,24000,26000,33000,19500
Perodua,MyVi,Used,2008,110000,119999,1300,Manual,-23.63636364,22000,22000,22000,12800
Perodua,MyVi,Used,2008,130000,139999,1300,Manual,-50,22000,22000,22000,12800
Perodua,MyVi,Used,2008,120000,129999,1300,Manual,-32.72727273,22000,22000,22000,12800
Perodua,MyVi,Used,2008,80000,84999,1300,Manual,-60.60606061,24000,26000,33000,20800
Perodua,MyVi,Used,2008,85000,89999,1300,Manual,-45.45454545,24000,26000,33000,20000
Proton,Saga,Used,2008,90000,94999,1300,Auto,-9.230769231,13000,13000,13000,7900
Proton,Saga,Used,2008,110000,119999,1300,Auto,-16.92307692,13000,13000,13000,8300
Proton,Saga,Used,2008,200000,249999,1300,Auto,-1.538461538,13000,13000,13000,8700
Proton,Saga,Used,2008,140000,149999,1300,Auto,-9.230769231,13000,13000,13000,8300
Proton,Saga,Used,2008,100000,109999,1300,Auto,-26.92307692,13000,13000,13000,7900
Proton,Saga,Used,2008,80000,84999,1300,Auto,3.846153846,13000,13000,13000,7900
Proton,Saga,Used,2008,90000,94999,1300,Auto,-16.15384615,13000,13000,13000,7900
Proton,Saga,Used,2008,130000,139999,1300,Auto,-30,14000,14000,14000,8300
Proton,Saga,Used,2008,90000,94999,1300,Auto,-23.07692308,13000,13000,13000,7900
Proton,Saga,Used,2008,95000,99999,1300,Auto,-40,18000,18000,18000,9888
Proton,Saga,Used,2008,70000,74999,1300,Manual,-42,10000,10000,10000,5990
Proton,Saga,Used,2008,110000,119999,1300,Manual,-22,10000,10000,10000,5990
Proton,Saga,Used,2008,140000,149999,1300,Manual,25.45454545,11000,11000,11000,7200
Proton,Saga,Used,2008,15000,19999,1300,Manual,0,10000,10000,10000,5990
Proton,Saga,Used,2008,190000,199999,1300,Manual,5,10000,10000,10000,5990
Proton,Saga,Used,2008,170000,179999,1300,Manual,-12,10000,10000,10000,5990
Proton,Saga,Used,2008,150000,159999,1300,Manual,5.55,10000,10000,10000,5990
Proton,Saga,Used,2008,120000,129999,1300,Manual,5,10000,10000,10000,5990
Proton,Saga,Used,2008,120000,129999,1300,Manual,-0.01,10000,10000,10000,5990
Proton,Saga,Used,2008,100000,109999,1300,Manual,-21,10000,10000,10000,5990
Toyota,Vios,Used,2008,90000,94999,1500,Auto,-60,51000,61000,72000,35800
Toyota,Vios,Used,2008,65000,69999,1500,Auto,-59.72222222,51000,61000,72000,35800
Toyota,Vios,Used,2008,110000,119999,1500,Auto,-59.55882353,48000,57000,68000,34500
Toyota,Vios,Used,2008,95000,99999,1500,Auto,-58.48888889,51000,61000,72000,35800
Toyota,Vios,Used,2008,0,4999,1500,Auto,-47.35294118,48000,57000,68000,34300
Toyota,Vios,Used,2008,90000,94999,1500,Auto,-69.44583333,51000,61000,72000,35800
Toyota,Vios,Used,2008,150000,159999,1500,Auto,-54.16666667,51000,61000,72000,35000
Toyota,Vios,Used,2008,140000,149999,1500,Auto,-63.52941176,48000,57000,68000,34500
Toyota,Vios,Used,2008,110000,119999,1500,Auto,-31.02040816,49000,49000,49000,28888
Toyota,Vios,Used,2008,95000,99999,1500,Auto,-69.72222222,51000,61000,72000,35800
Toyota,Vios,Used,2008,95000,99999,1500,Auto,-57.22222222,51000,61000,72000,35800
Toyota,Vios,Used,2008,80000,84999,1500,Auto,-64.60526316,53000,64000,76000,35800
Toyota,Vios,Used,2008,140000,149999,1500,Auto,-42.62295082,44000,53000,61000,29800
Toyota,Vios,Used,2008,75000,79999,1500,Auto,-53.67647059,48000,57000,68000,34300
Toyota,Vios,Used,2008,95000,99999,1500,Auto,-28.57142857,49000,49000,49000,28888
Toyota,Vios,Used,2008,120000,129999,1500,Auto,-53.05555556,51000,61000,72000,34800
Toyota,Vios,Used,2008,75000,79999,1500,Auto,-57.51764706,48000,57000,68000,34300
Toyota,Vios,Used,2008,130000,139999,1500,Auto,-52.77777778,51000,61000,72000,34800
Toyota,Vios,Used,2008,85000,89999,1500,Auto,-55.83333333,51000,61000,72000,35800
Toyota,Vios,Used,2008,200000,249999,1500,Auto,-50,48000,57000,68000,34800
